" was not delivered nor scanned"," 沒有交貨也未檢驗"
"1 Day Freight","一日內送達"
"2 Day Freight","兩日內送達"
"2Day","兩天"
"2nd Day Air","兩日空運"
"2nd Day Air AM","兩日空運上午送達"
"2nd Day Air AM Letter","兩日空運上午送達信件"
"2nd Day Air Letter","兩日空運送達信件"
"3 Day Freight","三日內送達"
"3 Day Select","三日內送達"
"Access ID","訪問許可號ID"
"Access license number","訪問許可號"
"Account ID","帳號"
"Account number","帳號"
"Additional Protection Configuration Value","額外保護配置值"
"Additional Protection Enabled","啟用額外保護"
"Additional Protection Min Subtotal","額外保護最低金額"
"Additional Protection Value","額外保護值"
"Additional Protection Value Rounding Method","額外保護價格捨入法"
"All Services","所有服務"
"Allowed methods","可選發貨方式"
"Bound Printed Matter","包裝材料"
"Business Service Center","商務服務中心"
"Calculate Handling Fee","計算手續費"
"Canada Standard","加拿大標準"
"Cannot retrieve shipping rates","無法讀取運費費率"
"Commercial","商務陸運"
"Configuration","配置"
"Container","包裝箱"
"Customer Packaging","顧客包裝"
"DHL","DHL"
"Default Package Height","默認包裹高度"
"Default Package Length","默認包裹長度"
"Default Package Width","默認包裹寬度"
"Delivered","已交貨"
"Destination type","目的地類型"
"Displayed Error Message","出錯時顯示的內容"
"Domestic Shipment Days","國內配送日"
"Drop Box","收件箱"
"Dropoff","收貨"
"Empty response","空回復"
"Enable Negotiated Rates","啟用可議價運費"
"Enabled","已啟動"
"Error #%s : %s (%s)","錯誤號%s : %s (%s)"
"Error #%s: %s","錯誤號%s: %s"
"Europe First Priority","歐洲第一優先"
"Express","速遞"
"Express 10:30 AM","速遞上午10:30"
"Express Mail","快遞郵件"
"Express Saturday","週六快遞"
"Express Saver","速快"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx10公斤快遞箱"
"FedEx 25kg Box","FedEx25公斤快遞箱"
"FedEx Box","FedEx快遞盒"
"FedEx Envelope","FedEx快遞封"
"FedEx Pak","FedEx快遞袋"
"FedEx Tube","FedEx快遞筒"
"First Overnight","次晨達"
"First-Class","快件"
"Flat","固定的"
"Flat-Rate Box","固定運費盒子"
"Flat-Rate Envelope","固定運費信封"
"Free method","免運費方式"
"Free shipping with minimum order amount","免運費訂單最小金額"
"Gateway URL","網關URL"
"Gateway XML URL","網關XML URL"
"Ground","陸運"
"Ground Commercial","商務陸運"
"Ground Residential","住宅陸運"
"Handling Applied","手續費基準"
"Handling fee","手續費"
"Home Delivery","住宅配送"
"International Economy","國際經濟"
"International Express","國際快遞"
"International First","國際第一"
"International Priority","國際快件"
"International Shipment Days","國際配送日"
"Intl Economy Freight","國際經濟運輸"
"Intl Priority Freight","國際優先運輸"
"Invalid DHL XML code for type %s: %s","DHL XML 代碼不正確，類型 %s: %s"
"Invalid DHL XML code type: %s","DHL XML 代碼類型不正確：%s"
"Invalid FedEx XML code for type %s: %s","FedEx XML 代碼不正確，類型 %s: %s"
"Invalid FedEx XML code type: %s","FedEx XML代碼類型不正確：%s"
"Invalid UPS CGI code for type %s: %s","UPS CGI 代碼不正確，類型 %s:%s"
"Invalid UPS CGI code type: %s","UPS CGI 代碼類型不正確： %s"
"Invalid USPS XML code for type %s: %s","USPS XML 代碼不正確，類型 %s: %s"
"Invalid USPS XML code type: %s","USPS XML 代碼類型不正確：%s"
"Kilograms","千克"
"Large","大件"
"Letter","信件"
"Library","庫"
"Machinable","電腦可讀"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","最大包裹重量（請咨詢配送公司）"
"Media Mail","媒體郵件"
"Minimum order amount for free shipping","免運費的最低訂單金額"
"Next Afternoon","隔日下午"
"Next Day Air","隔日空運送達"
"Next Day Air Early AM","隔日空運早上送達"
"Next Day Air Early AM Letter","隔日空運早上送達信件"
"Next Day Air Intra (Puerto Rico)","國內隔日空運送達 (波多黎各Puerto Rico)"
"Next Day Air Letter","隔日空運送達信件"
"Next Day Air Saver","優捷隔日空運送達"
"Next Day Air Saver Letter","經濟型隔日空運送達"
"No","否"
"Non-rectangular","非矩形"
"Order","訂單"
"Origin of the shipment","發貨地點"
"Oversize","超大"
"Package","包裹"
"Package Description","包裹說明"
"Packaging","包裝"
"Parcel","包裹"
"Parcel Post","郵包"
"Password","密碼"
"Pickup method","取貨方式"
"Please enter the package weight","請輸入包裹重量"
"Please make sure to use only digits here. No dashes are allowed.","只允許使用數字。不可以使用破折號"
"Pounds","磅"
"Priority Mail","快件"
"Priority Overnight","次晨達快件"
"Receiver","收貨人"
"Rectangular","矩形"
"Regular","普通"
"Regular Pickup","普通取件"
"Request Courier","申請快遞"
"Residential","住宅的"
"Residential Delivery","送貨上門"
"Response is in the wrong format","回復格式不正確"
"Round","四捨五入"
"Second Day Service","次日服務"
"Sender","發貨人"
"Ship to Specific countries","發貨到指定國家"
"Ship to applicable countries","發貨到適用國家"
"Shipment Contains Hazardous Materials","危險品配送"
"Shipment Dutiable","關稅"
"Shipment Duty Payment Type","關稅支付類型"
"Shipment is not available.","不能發貨。"
"Shipment picked up","配送收貨"
"Shipment type","配送類型"
"Shipper Number","發貨人號"
"Shipping key","發貨密鑰"
"Shipping key (International)","發貨密鑰 (國際)"
