"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s已添加至您的收藏夹。点击<a href=""%2$s"">这里</a> 继续购物。"
"%1$s has been updated in your wishlist.","%1$s已在您的收藏夹更新。"
"%d product(s) have been added to shopping cart: %s.","已成功将%d件商品添加至购物车: %s."
"%s has been moved to wishlist %s","%s已移至您的收藏夹 %s。"
"%s tag(s) have been accepted for moderation.","标签%s已经创建。"
"%s was added to your shopping cart.","已将%s放入您的购物车。"
"%s was removed from your wishlist.","已将%s从收藏夹中删除。"
"%s was updated in your shopping cart.","%s已在您的购物车更新。"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","账号需要進行激活。请查看验证邮件並点击链接激活您的账号。需要重新发送验证邮件，请<a href=""%s"">点击这里</a>。"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","账号需要進行激活。请查看验证邮件並点击链接激活您的账号。需要重新发送验证邮件，请<a href=""%s"">点击这里</a>。"
"An error occurred while adding item to wishlist: %s","添加商品至收藏夹时发生错误:%s。"
"An error occurred while deleting the address.","删除地址时发生错误。"
"An error occurred while deleting the item from wishlist.","删除收藏夹的商品时发生错误。"
"An error occurred while deleting the item from wishlist: %s","删除收藏夹的商品时发生错误:%s。"
"An error occurred while saving your subscription.","保存订阅时发生错误。"
"An error occurred while updating wishlist.","更新收藏夹时发生错误。"
"Are you sure that you want to remove this item?","确定要删除此商品？"
"Are you sure you want to cancel adding of this address?","确定要取消添加中的地址？"
"Are you sure you want to delete this address?","确定要删除此地址？"
"Are you sure you would like to cancel this RMA?","确定要取消此退换货申请吗？"
"Are you sure?","确定？"
"Are you sure you want to remove this product from your wishlist?","确定要将此商品从收藏夹中删除吗?"
"Are you sure you would like to remove this item from the shopping cart?","确定要将此商品从购物车中删除吗?"
"Are you sure to redeem this gift with %s points?","您确定要用 %s 积分兑换此礼品么？"
"Can't load RMA request","不能加载退换货请求。"
"Cannot add item to shopping cart","未能添加商品至购物车。"
"Cannot add item to shopping cart","未能添加商品至购物车。"
"Cannot add the item to shopping cart.","未能添加此商品到购物车。"
"Cannot add the item to shopping cart.","未能添加此商品到购物车。"
"Cannot add the item to shopping cart.","未能添加此商品到购物车。"
"Cannot apply gift card.","礼品卡不能使用。"
"Cannot apply the coupon code.","优惠码不能使用。"
"Cannot Convert reward Points.","不能转化积分。"
"Cannot Convert reward Points.","不能转化积分。"
"Cannot load wishlist item","不能加载收藏夹的商品。"
"Cannot move item to wishlist","不能将商品添加至收藏夹。"
"Cannot move item to wishlist","不能将商品移至收藏夹。"
"Cannot Rebind the Weibo Acccount.","未能捆绑微博账户。"
"Cannot redeem Gift Card.","不能兌換礼品卡。"
"Cannot remove gift card.","不能删除礼品卡。"
"Cannot remove the item.","不能删除商品。"
"Cannot save a new password.","不能保存新密码。"
"Cannot save address.","不能保存地址。"
"Cannot specify product.","不能指定商品。"
"Cannot update shopping cart.","未能更新购物车。"
"Cannot update wishlist","未能更新收藏夹。"
"Can't update wishlist","未能更新收藏夹。"
"Can't be empty","不能空白。"
"Couldn't load order by given order ID","不能通过已给的订单号得到订单"
"Comment successfully added","已成功添加评论。"
"Comment text can't be empty","评论不能空白。"
"Confirmation request has been sent.","确认要求已经发送。"
"Coupon code ""%s"" was applied.","已使用优惠码""%s""。"
"Coupon code was canceled.","已取消使用优惠码。"
"Customer email is required","您的电邮地址是必须填写的。"
"Email address is required.","电邮地址是必须填写的。"
"Entered data is incorrect. Please try again.","输入的数据错误。请重试。"
"Express Checkout and Order have been canceled.","快速支付和订单已取消。"
"Express Checkout has been canceled.","快速支付已取消。"
"Facebook connection failed.","关联Facebook帐号失败。"
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Facebook不能提供要求的所有信息，请先注册然后再进行Facebook帐号关联。"
"Failed to unsubscribe.","退订失败。"
"Gift Card ""%s"" was added.","已添加礼品卡""%s""。"
"Gift Card ""%s"" was redeemed.","已兌換礼品卡""%s""。"
"Gift Card ""%s"" was removed.","已删除礼品卡""%s""。"
"If there is an account associated with %s you will receive an email with a link to reset your password.","如果有账号关联至%s,您将收到一封邮件来重置您的密码。"
"Insufficient reward points.","您的积分余额不足。"
"Invalid ""State/Province"" type.","""省份""类別错误。"
"Invalid current password","密码错误。"
"Invalid email address.","电邮地址错误。"
"Invalid gift card product.","该礼品卡不存在。"
"Invalid login or password.","帐号或密码错误。"
"Invalid password reset token.","重置的密码错误。"
"Invalid subscription confirmation code.","验证码错误。"
"Invalid subscription ID.","错误的订阅帐号。"
"Login and password are required.","请填写账号和密码。"
"New password field cannot be empty.","新密码栏不能空白。"
"New RMA request has been successfully added","新的退换货申请已成功添加。"
"Not Sufficient Reward Points for Gift Card !","没有足够的积分兑换礼品卡。"
"Not Sufficient Reward Points for Gift Product !","没有足够的积分兑换礼品。"
"Order place error.","配送地址错误。"
"Order ID and customer email didn't match each other","订单号或电邮地址错误"
"Please agree to all Terms and Conditions before placing the order.","请阅读并同意熙熙网的使用条款。"
