"%s's Wishlist","%s的收藏"
"* Required Fields","* 必填項"
"Add All to Cart","全部加入購物車"
"Add to Cart","添加到購物袋"
"Add to Wishlist","加入收藏"
"Added On","加入在"
"Back","返回"
"Can't save description %s","無法儲存%s說明"
"Cannot create wishlist","無法創建收藏"
"Cannot specify product","無法指定商品"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","如果要增加到收藏的RSS Feed的鏈接，請選擇該方框。"
"Comment","備註"
"Email Sender","電郵發件人"
"Email Template","電郵模版"
"Enabled","已啟用"
"General Options","基本選項"
"Go to Wishlist","轉到收藏"
"Last Added Items","最後加入的商品"
"Message","內容"
"My Wishlist","我的收藏"
"My Wishlist (%d item)","收藏 (%d 件)"
"My Wishlist (%d items)","收藏 (%d 件)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","請輸入有效電郵並以逗號分開。 例子： johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","請輸入備註..."
"Product","商品"
"RSS Feed","RSS 訂閱"
"RSS link to %s's wishlist","RSS 連接到%s的收藏"
"Remove Item","刪除"
"Share Wishlist","共享收藏"
"Share Your Wishlist","共享您的收藏"
"Share options","共享選項"
"Sharing Information","共享信息"
"Update Wishlist","更新收藏"
"View Product","查看商品"
"Wishlist","收藏"
"Wishlist Section","收藏單元"
"Wishlist Sharing","共享收藏"
"SHOP NOW","立即購買"
"Out of stock","缺貨"
"Remove","刪除"
"Color","顏色"
"Size","尺碼："
"Shoes","鞋履"
"Clothing","服裝"
"Bag","包包"
"Accessories","配飾"
"You have no items in your wishlist.","您暫時沒有收藏。"
