" Copy"," 拷贝"
"Action","操作"
"Add New Template","增添新模版"
"Add to Queue","添加到队列"
"Back","返回"
"Cancel","取消"
"Cancelled","已取消"
"Confirmation Email Sender","发件人确认电邮"
"Confirmation Email Template","确认电邮模版"
"Confirmation request has been sent","确认邮件已发出"
"Convert to Plain Text","转换至纯文本格式"
"Create Newsletter Template","创建Newsletter模版"
"Customer","客户"
"Customer Firstname","客户名字"
"Customer Lastname","客户姓氏"
"Date Added","加入日期"
"Date Updated","日期已更新"
"Delete Selected Problems","删除被选的问题"
"Delete Template","删除模版"
"Do you really want to cancel the queue?","您确定要取消列队？"
"Duplicate of template code","模板代码重复"
"Edit Newsletter","编辑Newsletter"
"Edit Newsletter Template","编辑Newsletter模版"
"Edit Queue","编辑队列"
"Edit Template","编辑模版"
"Email","电邮"
"Enter your email address","输入您的电邮地址"
"Error Code","错误代码"
"Error Text","错误文字"
"Guest","访客"
"ID","编号"
"Message","内容"
"Need to Confirm","需确认？"
"New Newsletter Template","新添Newsletter模版"
"New Template","新模版"
"Newsletter","邮件列表"
"Newsletter Message Preview","Newsletter内容预览"
"Newsletter Problem Reports","Newsletter问题报告"
"Newsletter Queue","Newsletter列队"
"Newsletter Section","Newsletter单元"
"Newsletter Sign-up","注册邮件列表"
"Newsletter Subscribers","Newsletter订阅名单"
"Newsletter Subscription","Newsletter订阅"
"Newsletter Subscriptions","Newsletter订阅"
"Newsletter Templates","Newsletter模版"
"Not Sent","寄送不成功"
"Not activated","未激活"
"Pause","暂停"
"Paused","已暂停"
"Preview","预览"
"Preview Template","预览模版"
"Processed","已处理"
"Queue Date Start","队列日期开始"
"Queue Finish","队列结束"
"Queue Information","队列信息"
"Queue Newsletter","队列邮件列表"
"Queue Start","队列开始"
"Queue Subject","队列主题"
"Recipients","收件人"
"Reset","重置"
"Resume","继续"
"Return Html Version","返回Html版本"
"Save And Resume","储存并继续"
"Save As","储存为"
"Save Newsletter","储存Newsletter"
"Save Template","储存模版"
"Sender","发件人"
"Sender Email","发件人电邮"
"Sender Name","发件人名字"
"Sending","正在发送"
"Sending Options","发送选项"
"Sent","已发送"
"Set Return-Path","设置返回路径"
"Sign me up","注册"
"Sign up for our newsletter:","订阅邮件列表："
"Start","开始"
"Status","状态"
"Store","商店"
"Store View","商店界面"
"Subject","主题"
"Subscribe","订阅"
"Subscribed","已订阅"
"Subscriber","订阅者"
"Subscribers","订阅名单"
"Subscribers From","订阅表单"
"Subscription Options","订阅选择"
"Success Email Sender","成功订阅发件人电邮"
"Success Email Template","成功订阅电邮模版"
"Template Content","模版内容"
"Template Information","模版信息"
"Template Name","模版名"
"Template Subject","模版主题"
"Template Type","模版类型"
"Toggle Editor","切换编辑器"
"Type","类型"
"Unsubscribe","退订"
"Unsubscribe Selected","退订被选择"
"Unsubscribed","已退订"
"Unsubscription Email Sender","退订发件人电邮"
"Unsubscription Email Template","退订电邮模版"
"View Newsletter","阅览Newsletter"
"Website","网站"
"Sign up for our newsletter","订阅"
"Get latest offers and news from Central/Central","获取熙熙网最新资讯和推广优惠"
"YOUR EMAIL","你的电子邮箱"
"Sign Up","订阅"
"Search","搜索"
