" Copy"," 拷貝"
"Action","操作"
"Add New Template","增添新模版"
"Add to Queue","添加到隊列"
"Back","返回"
"Cancel","取消"
"Cancelled","已取消"
"Confirmation Email Sender","發件人確認電郵"
"Confirmation Email Template","確認電郵模版"
"Confirmation request has been sent","確認郵件已發出"
"Convert to Plain Text","轉換至純文本格式"
"Create Newsletter Template","創建Newsletter模版"
"Customer","顧客"
"Customer Firstname","顧客名字"
"Customer Lastname","顧客姓氏"
"Date Added","加入日期"
"Date Updated","日期已更新"
"Delete Selected Problems","刪除被選的問題"
"Delete Template","刪除模版"
"Do you really want to cancel the queue?","您確定要取消列隊？"
"Duplicate of template code","模板代碼重複"
"Edit Newsletter","編輯Newsletter"
"Edit Newsletter Template","編輯Newsletter模版"
"Edit Queue","編輯隊列"
"Edit Template","編輯模版"
"Email","電郵"
"Enter your email address","輸入您的電郵地址"
"Error Code","錯誤代碼"
"Error Text","錯誤文字"
"Guest","訪客"
"ID","編號"
"Message","內容"
"Need to Confirm","需確認？"
"New Newsletter Template","新添Newsletter模版"
"New Template","新模版"
"Newsletter","電子報"
"Newsletter Message Preview","Newsletter內容預覽"
"Newsletter Problem Reports","Newsletter問題報告"
"Newsletter Queue","Newsletter列隊"
"Newsletter Section","Newsletter單元"
"Newsletter Sign-up","註冊郵件列表"
"Newsletter Subscribers","Newsletter訂閱名單"
"Newsletter Subscription","Newsletter訂閱"
"Newsletter Subscriptions","Newsletter訂閱"
"Newsletter Templates","Newsletter模版"
"Not Sent","寄送不成功"
"Not activated","未激活"
"Pause","暫停"
"Paused","已暫停"
"Preview","預覽"
"Preview Template","預覽模版"
"Processed","已處理"
"Queue Date Start","隊列日期開始"
"Queue Finish","隊列結束"
"Queue Information","隊列信息"
"Queue Newsletter","隊列郵件列表"
"Queue Start","隊列開始"
"Queue Subject","隊列主題"
"Recipients","收件人"
"Reset","重置"
"Resume","繼續"
"Return Html Version","返回Html版本"
"Save And Resume","儲存並繼續"
"Save As","儲存為"
"Save Newsletter","儲存Newsletter"
"Save Template","儲存模版"
"Sender","發件人"
"Sender Email","發件人電郵"
"Sender Name","發件人名字"
"Sending","正在發送"
"Sending Options","發送選項"
"Sent","已發送"
"Set Return-Path","設置返回路徑"
"Sign me up","註冊"
"Sign up for our newsletter:","訂閱郵件列表："
"Start","開始"
"Status","狀態"
"Store","商店"
"Store View","商店界面"
"Subject","主題"
"Subscribe","訂閱"
"Subscribed","已訂閱"
"Subscriber","訂閱者"
"Subscribers","訂閱名單"
"Subscribers From","訂閱表單"
"Subscription Options","訂閱選擇"
"Success Email Sender","成功訂閱發件人電郵"
"Success Email Template","成功訂閱電郵模版"
"Template Content","模版內容"
"Template Information","模版信息"
"Template Name","模版名"
"Template Subject","模版主題"
"Template Type","模版類型"
"Toggle Editor","切換編輯器"
"Type","類型"
"Unsubscribe","退訂"
"Unsubscribe Selected","退訂被選擇"
"Unsubscribed","已退訂"
"Unsubscription Email Sender","退訂發件人電郵"
"Unsubscription Email Template","退訂電郵模版"
"View Newsletter","閱覽Newsletter"
"Website","網站"
"Sign up for our newsletter","訂閱"
"Get latest offers and news from Central/Central","獲取CentralCentralShop.com最新資訊和推廣優惠"
"YOUR EMAIL","你的電子郵箱"
"Sign Up","訂閱"
"Search","搜索"
