"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s已添加至我的收藏。點擊<a href=""%2$s"">這裡</a> 繼續購物。"
"%1$s has been updated in your wishlist.","%1$s已在我的收藏更新。"
"%d product(s) have been added to shopping cart: %s.","已成功將%d件商品添加至購物袋: %s."
"%s has been moved to wishlist %s","%s已移至我的收藏 %s。"
"%s tag(s) have been accepted for moderation.","標籤%s已經創建。"
"%s was added to your shopping cart.","已將%s放入您的購物袋。請在結算前檢查您的貨品。"
"%s was removed from your wishlist.","已將%s從收藏夾中刪除。"
"%s was updated in your shopping cart.","%s已在您的購物袋更新。"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","帳戶需要進行驗證。請查看驗證郵件並點擊鏈接啟動您的帳戶。需要重新發送驗證郵件，請<a href=""%s"">點擊這裡</a>。"
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","帳戶需要進行驗證。請查看驗證郵件並點擊鏈接啟動您的帳戶。需要重新發送驗證郵件，請<a href=""%s"">點擊這裡</a>。"
"An error occurred while adding item to wishlist: %s","添加商品至我的收藏時發生錯誤:%s。"
"An error occurred while deleting the address.","刪除地址時發生錯誤。"
"An error occurred while deleting the item from wishlist.","刪除收藏的商品時發生錯誤。"
"An error occurred while deleting the item from wishlist: %s","刪除收藏的商品時發生錯誤:%s。"
"An error occurred while saving your subscription.","保存訂閱時發生錯誤。"
"An error occurred while updating wishlist.","更新收藏時發生錯誤。"
"Are you sure that you want to remove this item?","確定要刪除此商品？"
"Are you sure you want to cancel adding of this address?","確定要取消添加中的地址？"
"Are you sure you want to delete this address?","確定要刪除此地址？"
"Are you sure you would like to cancel this RMA?","確定要取消此退換貨申請嗎？"
"Are you sure?","確定？"
"Are you sure you want to remove this product from your wishlist?","確定要將此商品從收藏夾中刪除嗎?"
"Are you sure you would like to remove this item from the shopping cart?","確定要將此商品從購物袋中刪除嗎?"
"Are you sure to redeem this gift with %s points?","您確定要用 %s 積分兌換此禮品麼？"
"Can't load RMA request","不能加載退換貨請求。"
"Cannot add item to shopping cart","未能添加商品至購物袋。"
"Cannot add item to shopping cart","未能添加商品至購物袋。"
"Cannot add the item to shopping cart.","未能添加此商品到購物袋。"
"Cannot add the item to shopping cart.","未能添加此商品到購物袋。"
"Cannot add the item to shopping cart.","未能添加此商品到購物袋。"
"Cannot apply gift card.","禮品卡不能使用。"
"Cannot apply the coupon code.","優惠碼不能使用。"
"Cannot Convert reward Points.","不能兌換積分。"
"Cannot Convert reward Points.","不能兌換積分。"
"Cannot load wishlist item","不能加載收藏的商品。"
"Cannot move item to wishlist","不能將商品添加至我的收藏。"
"Cannot move item to wishlist","不能將商品移至我的收藏。"
"Cannot Rebind the Weibo Acccount.","未能以Facebook帳戶登入。"
"Cannot redeem Gift Card.","不能兌換禮品卡。"
"Cannot remove gift card.","不能刪除禮品卡。"
"Cannot remove the item.","不能刪除商品。"
"Cannot save a new password.","不能保存新密碼。"
"Cannot save address.","不能保存地址。"
"Cannot specify product.","不能指定商品。"
"Cannot update shopping cart.","未能更新購物袋。"
"Cannot update wishlist","未能更新我的收藏。"
"Can't update wishlist","未能更新我的收藏。"
"Can't be empty","不能空白。"
"Couldn't load order by given order ID","不能通過已給的訂單號得到訂單"
"Comment successfully added","已成功添加評論。"
"Comment text can't be empty","評論不能空白。"
"Confirmation request has been sent.","確認要求已經發送。"
