"Account login","帳戶登錄"
"Account password","帳戶密碼"
"Active","啟用"
"Add Attribute Mapping","添加屬性映射（Mapping）"
"Add New Attribute","添加新屬性"
"Add to Google Base","添加至Google Base"
"Are you sure?","您確定嗎？"
"Attribute","屬性"
"Attribute Set","屬性分組"
"Attribute Set and Item Type","屬性分組和商品類型"
"Attributes","屬性"
"Attributes Set","屬性分組"
"Attributes mapping","屬性映射"
"AuthSub","AuthSub"
"Available Products","有庫存商品"
"British Pound Sterling","英鎊"
"Cannot update Google Base Item for Store '%s'","商店無法更新Google Base商品 '%s'"
"Captcha confirmation error: %s","Captcha（驗證碼）確認錯誤信息: %s"
"Captcha confirmed successfully","Captcha 確認成功"
"Clicks","點擊"
"ClientLogin","客戶登錄"
"Confirm","確認"
"Current Mapping will be reloaded. Continue?","Mapping）將重載。繼續？"""
"Custom attribute, no mapping","自定義屬性，不加映射（Mapping）"
"Default Store (%s)","缺省商店 (%s)"
"Delete","刪除"
"Delete Mapping","刪除映射（Mapping）"
"Edit Item Type","編輯商品類型"
"Edit Item Type ""%s""","編輯商品類型 ""%s"""
"Error: %s","錯誤信息：%s"
"Euro","歐元"
"Expires","期滿"
"Germany","德國"
"Google Base","Google Base"
"Google Base Attribute","Google Base屬性"
"Google Base ID","Google Base ID"
"Google Base Item Type","Google Base商品類型"
"Google Base Item type","Google Base商品類型"
"Google Base Items","Google Base商品"
"Hide","隱藏"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Google Base商品型號不正確。"
"Item Type was deleted","商品類型已被刪除"
"Item Types","商品類型"
"Item model is not specified to delete Google Base entry","沒有選擇商品型號刪除Google Base登錄"
"Item type was successfully saved","商品類型成功保存"
"Items","商品"
"Manage Attribute Mapping","映射（Mapping）屬性管理"
"Manage Attributes","屬性管理"
"Manage Items","商品管理"
"New Item Type","新商品類型"
"No","否"
"No items were deleted from Google Base","商品從Google Base裡被刪除。"
"No items were published","無商品被發佈。"
"No items were saved as Inactive items","無商品保存為禁用商品"
"No products were added to Google Base","無商品添加至Google Base"
"Object model is not specified to save Google Base entry","沒有選擇商品型號刪除Google Base登錄"
"Page views","頁面瀏覽"
"Please, select Attribute Set and Google Item Type to load attributes","請選擇屬性分組和Google商品類型以加載屬性。"
"Product Name","商品名"
"Publish","發佈"
"Published","已發佈"
"Remove","刪除"
"Save Mapping","儲存映射（Mapping）"
"Synchronize","同步"
"Target Country","目標國家"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","此操作將更新商品統計並刪除不在Google Base內的商品。要繼續嗎？"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","共%d件商品成功刪除，共%d件商品成功更新"
"Total of %d items(s) were successfully published","共%d件商品成功發佈"
"Total of %d items(s) were successfully removed from Google Base","共%d件商品成功從Google Base中刪除"
"Total of %d items(s) were successfully saved as Inactive items","共%d 件商品成功保存為禁用商品"
"Total of %d product(s) were successfully added to Google Base","共 %d 件商品成功加入Google Base"
"US Dollar","美元"
"Unable to connect to Google Base. Please, check Account settings in configuration.","無法連接至Google Base。請檢查帳戶設置。"
"United Kingdom","英國"
"United States","美國"
"Update Google Base item when product is updated","當商品更新時更新Google Base商品"
"View Available Products","查看有效商品"
"View Item in Google Base","查看Google Base的商品"
"Yes","是"
