"Account Info","會員資料"
"Order Detail",""
"(Optional)","(選填)"
"Dashboard","我的帳戶"
"Newsletter","電子報"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information.","您可以在這裡查看購物積分、檢視近期購物活動或更新賬戶信息。"
"Select a link below to view or edit information.","請選擇下方連接查看或修改信息"
"Address Book","地址簿"
"* Please provide the country code (e.g. +852) before telephone number.","* 請在電話號碼前加國際號(+852)"
"Default Address"," 默認地址"
"Other Addresses","其他地址"
"Change to Default Address","設定為默認地址"
"Wishlist","我的收藏"
"My Account","我的帳戶"
"Home","首頁"
"Wishlist","我的收藏"
"Information","資訊"
"Subscribe to Newsletter","訂閱電子報"
"Download Our CC App","下載應用程式"
"Change shipping destination","更改配送地點"
"Language","語言"
"(Sign out)","(退出)"
"Sign Out","退出"
"Back","返回"
"Return / Exchange","退換貨申請"
"Sign In / Register","登入/註冊"
"Sign in / Register","登入/註冊"
"Remember me","保持我的登入狀態"
"Login","登入"
"Login With Facebook","用FACEBOOK登入"
"First Name","名字"
"Last Name","姓氏"
"Email Address","電子郵件"
"Telephone","電話"
"Password","密碼"
"Confirm Password","確認密碼"
"Sign up for special promotions","同意接收宣傳信息"
"I agree to CCSHOP.COM ","我同意CCSHOP.COM之"
"Terms of Use","使用條款及細則"
"Sign In Or Register","登入/註冊"
"You have not set a default shipping address.","您未設置默認送貨地址。"
"Default Shipping Address","默認送貨地址"
"Email Address","電子郵箱"
"Add New Address","添加新地址"
"Edit Address","编辑地址"
"Please include the company name,If shipping to a work address.","如果送貨地址是工作地點，請附上公司名稱。"
"Forgot Password","忘記密碼"
"Please enter your email address below. You will receive a link to reset your password.","請填寫您的電子郵箱，您將會收到一個修改密碼的鏈接。"
"Submit","提交"
"T","電話"
"Edit","編輯"
"Color","顏色"
"Size","尺碼"
"You are signed out","您已退出"
"You will be redirected to homepage in 5 seconds.","您將於5秒內返回主頁。"
"Subscribe","訂閱"
"Orders","訂單"
"Forgot Password?","忘記密碼？"
