"-- Please select --","-- 請選擇 --"
"Allowed currencies","允許貨幣"
"Base currency","基準貨幣"
"Cannot retrieve rate from %s","無法從%s獲取匯率"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","繼續 &raquo;"
"Country","國家"
"Country Api","國家 Api"
"Country and Format Type combination should be unique","國家和格式類型組合必須單獨存在。"
"Currency","貨幣"
"Currency Options","貨幣選項"
"Currency Setup","貨幣設置"
"Currency Update Warnings","更新貨幣提示"
"Currency will be used for all online payment transactions","選中貨幣將被用於所有在線支付交易。"
"Default display currency","缺省貨幣"
"Directory","目錄"
"Enabled","已啟用"
"Error Email Recipient","收件人電郵錯誤"
"Error Email Sender","發件人電郵錯誤"
"Error Email Template","電郵模版錯誤"
"FATAL ERROR:","嚴重錯誤"
"Frequency","頻率"
"Installed Currencies","被採用的貨幣"
"Invalid Import Service Specified","指定的導入服務不正確"
"Invalid country code: %s","錯誤的國家代號： %s"
"Invalid rates received","接收的匯率不正確"
"Invalid target currency","目標貨幣不正確"
"List of countries","國家列表"
"List of regions in specified country","指定的國家省份列表"
"Region","地區"
"Region Api","區域 Api"
"Remove space from currency sign","刪除貨幣符號包含的空格"
"Scheduled Import Settings","定期導入"
"Select Your Currency","選擇您的貨幣"
"Service","服務"
"Start Time","開始時間"
"State/Province","省份"
"Strikeiron Email Update Warnings","Strikeiron 電郵更新提示"
"Unable to initialize import model","無法初始化導入模式"
"Undefined rate from ""%s-%s""","""%s-%s""未定義匯率"
"WARNING:","提醒："
"Webservicex","Webservicex"
"Your current currency is: %s","您現有的貨幣選擇為： %s"
