"# of Use","# 使用"
"%1$s incl tax.","%1$s 含稅."
"%s - %s","%s - %s"
"%s Item(s)","%s件"
"(Copy data from: %s)","(所拷貝數據: %s)"
"(Will make search for the query above return results for this search.)","(搜尋查詢是否加入此搜查結果？)"
"* Required Fields","* 必填項"
"-- Please Select --","-- 請選擇 --"
"A name is required","為必填項"
"ALL GROUPS","所有分組"
"AM","AM"
"Action","操作"
"Add Attribute","添加屬性"
"Add Design Change","添加界面設計"
"Add Group","添加分組"
"Add Items to Cart","加到購物車"
"Add New","添加"
"Add New Attribute","添加新屬性"
"Add New Attribute Set","添加新屬性組"
"Add New Group","添加新分組"
"Add New Images","添加新圖片"
"Add New Option","添加新的選項"
"Add New Row","添加新行"
"Add New Search Term","添加新的關鍵字搜尋"
"Add New Set","添加新組合"
"Add Option","增加選項"
"Add Product","添加商品"
"Add Product To Websites","添加商品於網站中"
"Add Root Category","添加主（Root）欄目"
"Add Subcategory","添加子欄目"
"Add Tax","加入稅中"
"Add Tier","增加層次"
"Add to Cart","添加到購物袋"
"Add to Compare","比較"
"Add to My Wishlist","加入收藏"
"Add to Wishlist","加入我的收藏"
"Add to wish list","加入我的收藏"
"Additional Information","附加信息"
"All","全部"
"All Looks","所有造型"
"All Product Types","所有商品類型"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","此分組裡的所有商品將被刪除，您確定要刪除此屬性分組？"
"Allowed File Extensions","允許文件格式"
"Allowed file extensions to upload","允許上傳文件格式"
"Apply To","應用於"
"Apply To Configurable/Grouped Product","應用於可設置/組合商品"
"Approved","已批准"
"Are you sure you want to delete this category?","確定要刪除此分類欄目？"
"Are you sure you would like to remove all products from your comparison?","確定要刪除所有比較列表裡的商品？"
"Are you sure you would like to remove this item from the compare products?","確定要從比較商品裡刪除此商品"
"Are you sure?","確定嗎"
"As low as:","低至："
"Assign","指派"
"Assign product link","指派商品連接"
"Assign product to category","指派商品到分類欄目"
"Assigned Products","被指定商品。"
"Associated Products","相關單一商品"
"Attrib. Set Name","屬性組合名稱"
"Attribute Code","屬性代碼"
"Attribute Information","屬性信息"
"Attribute Label","屬性標籤"
"Attribute Model","屬性型號"
"Attribute Name:","屬性名字:"
"Attribute Properties","屬性參數"
"Attribute Set","屬性分組"
"Attribute group with the ""/name/"" name already exists","此 ""/名字/""的屬性分組名經已存在。"
"Attribute model not defined","屬性型號未定義"
"Attribute with the same code already exists","此屬性號經已存在"
"Attributes","屬性"
"Attrribute names can be specified per store.","一個商店可指派屬性名"
"Autogenerate","自動生成
"Availability","庫存"
"Availability: In stock.","庫存：有貨"
"Availability: Out of stock.","庫存：缺貨。"
"Back","回返"
"Backend Model","後台型號"
"Backend Table","後台表單"
"Backend Table Title","後台表單標題"
"Backorders","缺貨訂單"
"Base directory to upload image file is not specified","沒有設定上傳圖片文件的基準目錄"
"Based On","基於"
"Best Value","超值"
"Block after Info Column","信息欄之後的區塊"
"Bottom/Left","底下/左邊"
"Bottom/Right","底下/右邊"
"Brands","品牌"
"Browse By","查看"
"Buy %1$s for %2$s","買 %1$s 付 %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","買一 %1$s 付 %2$s (%3$s 含稅)"
"Buy %1$s for %2$s each","買一 %1$s 付 %2$s"
"Can be used only with catalog input type Dropdown","只可用於下拉式（Dropdown）商品目錄"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","只可用於下拉式（Dropdown）商品目錄，多項選擇式（Multiple Select）及價格"
"Can't create image.","無法創建圖片"
"Cart Item Attribute","購物車商品屬性"
"Catalog","商品目錄"
"Catalog Input Type for Store Owner","店主的目錄輸入類型"
"Catalog Price Scope","商品目錄價格範圍"
"Catalog Section","目錄單元"
"Catalog, Search","目錄，搜尋"
"Categories","目錄分類"
"Categories Sitemap","目錄分類檢索"
"Category","目錄分類"
"Category API","目錄分類 API"
"Category Data","目錄分類數據"
"Category Navigation:","分類導航："
"Category Products","分類商品"
"Category Top Navigation","目錄分類主菜單"
"Category URL Suffix","目錄分類URL後綴"
"Category attributes API","目錄分類屬性 API"
"Category delete error","刪除分類出錯"
"Category deleted","分類已刪除"
"Category move error","目錄分類更動錯誤"
"Category must be instance of Mage_Catalog_Model_Category","分類必須是 Mage_Catalog_Model_Category 實例"
"Category saved","分類已保存"
"Change","編輯"
"Change or Retrieve attribute store view","修改或讀取商店屬性"
"Change status","修改狀態"
"Check items to add to the cart or","檢查商品是否可加入購物車"
"Choose an Option...","選擇選項..."
"Choose option...","選擇選項..."
"Clear All","清除所有"
"Clear All Items","清楚所有商品"
"Close Window","關閉窗口"
"Collapse All","全部折疊"
"Comparable","可比較"
"Comparable on Front-end","可比較於前台"
"Compare Items","比較商品"
"Compare Products","比較商品"
"Compare Products - %d Items","比較商品 - %d件商品"
"Compare Products List","比較商品列表"
"Compare list successfully cleared","成功刪除比較列表"
"Conditions Combination","結合條件"
"Configurable Product","可設置商品"
"Configurable Product Settings","可設置商品的設置"
"Continue","繼續"
"Copy From Configurable","拷貝於可設置商品"
"Country/State","國家/省份"
"Create","創建"
"Create (Upload)","創建（上載）"
"Create Empty","創建空檔"
"Create Product Settings","創建商品設置"
"Create Simple Associated Product","創建簡單相關商品"
"Create new category","創建新目錄分類"
"Create new product","創建新商品"
"Cross-sells","交叉銷售"
"Currently Shopping by","當前購物人"
"Custom Design","可定制設計"
"Custom Options","可定制選項"
"Customer Group","顧客分組"
"Customers Reviews","顧客評論"
"Customers Tagged Product","顧客設定標籤的商品"
"Customers for alert %s was successfuly added to queue","成功添加提醒%s的客戶到隊列"
"Data Type for Saving in Database","保存在數據庫的日期類型"
"Date","日期"
"Date & Time Custom Options","可定制的日期時間選項"
"Date Subscribed","數據訂閱"
"Datetime","時間"
"Decimal","十進制"
"Decimal Number","小數"
"Declare attribute value saving scope","定義屬性值保存範圍"
"Default Qty","默認件數"
"Default Values","默認值"
"Default price","缺省價格"
"Default value","缺省值"
"Delete","刪除"
"Delete Attribute","刪除屬性"
"Delete Attribute Set","刪除屬性組"
"Delete Category","刪除目錄分類"
"Delete Option","刪除選項"
"Delete Row","刪除行"
"Delete Search","刪除搜尋"
"Delete Selected Group","刪除搜尋組"
"Delete category","刪除目錄分類"
"Delete product","刪除商品"
"Depends on design theme","以設計模版為準"
"Design","設計"
"Details","細節"
"Disabled","禁用"
"Display in Suggested Terms","顯示建議過的關鍵字"
"Double click on a group to rename it","雙點擊以更換名字"
"Double click on above image to view full picture","雙點擊上面的圖片以觀全圖"
"Dropdown","下拉菜單"
"Duplicate","複製"
"Duplicate website tier price customer group and quantity.","複製網站分層價格顧客組和數量。"
"Duplicate website, country and state tax found.","複製網站之國家和省份的稅信息不存在。"
"Edit","修改"
"Edit Attribute Set '%s'","編輯屬性組 '%s'"
"Edit Product Attribute","編輯商品屬性"
"Edit Product Attribute ""%s""","編輯 ""%s""商品屬性"
"Edit Search","編輯搜尋"
"Edit Search '%s'","編輯搜尋 '%s'"
"Email","電郵"
"Email to a Friend","分享"
"Empty","空檔"
"Enabled","啟用"
"Error during retrieval of option value: %s","讀取選項參數時出現錯誤: %s"
"Error while adding customers for %s alert. Message: %s","添加%s提醒的客戶時出錯。信息：%s"
"Error while saving this group. Group with the same name already exists.","保存該組時出錯，同名組已存在。"
"Error while saving this group. Please try again later.","保存該組時出錯，請稍後再試。"
"Exclude","不包括"
"Expand All","全部展開"
"Failed","失敗"
"Failed to move file: %s"," %s文件移動失敗"
"Feature Products","主力(（推薦）商品"
"File upload failed","文件上傳失敗"
"Filter model name must be declared","請定義條件的型號名稱"
"Filter must be as object. Set correct filter please","條件必須為對象，請修改條件"
"Filterable (no results)","可過濾 （不含結果）"
"Filterable (with results)","可過濾 （含結果）"
"Filters must be as array","條件必須為數組"
"First Name","名字"
"Fixed","固定的"
"For internal use. Must be unique with no spaces","內部使用，必須唯一且不含空格"
"For reindex enabled product(s) you need specify store or product","您需要為支持索引商品指定 store 或 product 對像參數"
"Frontend","前提"
"Frontend Model","前台型號"
"Frontend Properties","前台屬性"
"Gallery","圖片庫"
"General Information","基本信息"
"Get special price","獲取特價信息"
"Gift Cards","禮品卡"
"Gift Products","禮品"
"Global","全站"
"Globally Editable","適於全站編輯"
"Go to Home Page","回到首頁"
"Grid","格"
"Grouped Product","組合商品"
"Groups","組"
"ID","編號"
"ID: %s","編號: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如一商店不指定一個選項，那麼默認的（管理）值將被使用。"
"Image","圖片"
"Image content is not valid base64 data.","圖片內容非正確的base64數據。"
"Image file not found","圖片文件沒找到"
"Image not exists","圖片不存在"
"Image not specified.","未指定圖片。"
"Image type and information need to be specified for each store view.","每個商店的圖片格式和信息需要確認。"
"In Stock","有庫存"
"In stock","有庫存"
"In stock.","有庫存。"
"Incl. Tax","含稅"
