"%d Review","%d 條評論"
"%d Reviews","%d 條評論"
"%d Review(s)","%d個評論"
"%s Review(s)","%s個評論"
"(Posted on %s)","(評論日期 %s)"
"1 star","1星"
"2 stars","2星"
"3 stars","3星"
"4 stars","4星"
"5 stars","5星"
"Add New Review","發表新的評論"
"Add Your Review","發表評論"
"Administrator","管理員"
"All Reviews","所有評論"
"All reviews of customer `%s`","客戶`%s`的所有評論"
"Allow guests to write reviews","允許未註冊用戶發表評論"
"Are you sure you want to do this?","您確認要這麼做嗎？"
"Are you sure?","您確認嗎？"
"Average Customer Rating","平均客戶評級"
"Average Customer Rating:","平均客戶評級:"
"Back","返回"
"Back to Main Product Info","返回商品頁"
"Back to My Reviews","返回我的評論"
"Back to Product Reviews","返回商品評論"
"Be the first to review this product","第一個評論此商品"
"Created On","創建日期"
"Customer","顧客"
"Customer Reviews","顧客評論"
"Delete","刪除"
"Delete Review","刪除評論"
"Detailed Rating","評極詳情"
"Edit Review '%s'","修改'%s'的評級"
"Guest","訪客"
"How do you rate this product?","您對此商品的評級是？"
"ID","編號"
"Manage Ratings","評級管理"
"My Product Reviews","我的商品評論"
"My Recent Reviews","我最近的評論"
"Name","姓名"
"Name In Store","在商店的名字"
"New Review","新評論"
"No reviews"," 暫無評論"
"Nickname","暱稱"
"Pending Reviews","待審評論"
"Pending reviews","待審評論"
"Pending reviews of customer `%s`","客戶`%s`的待審評論"
"Please select a product","請選擇商品"
"Please select one of each of the ratings above","請選擇上面的一個評級"
"Posted By","作者"
"Price","價格"
"Product","商品名"
"Product Name","商品名"
"Product Rating","商品評級"
"Product Rating:","商品評級："
"Product Review (submitted on %s):","商品評論 (提交日期 %s):"
"Product Reviews","商品評論"
"Product SKU","商品號碼"
"Qty","數量"
"Rating:","評級:"
"Review","評論內容"
"Review Details","評論詳情"
"Review by %s","評論人 %s"
"Reviews and Ratings","評論與評級"
"SKU","商品號碼"
"Save Review","儲存評論"
"Status","狀態"
"Submit Review","提交評論"
"Summary Rating","評級摘要"
"Summary of Review","評論摘要"
"Summary of Your Review","您的評論摘要"
"Summary of review","評論內容"
"Title","標題"
"Type","類型"
"Unable to post review. Please, try again later.","無法發表評論，請稍後再試。"
"Update status","更新狀態"
"View All Reviews","查看全部評論"
"View Details","查看詳情"
"Visible In","顯示於"
"Websites","網站"
"Write Your Own Review","發表您的評論"
"Write a review","撰寫評論"
"You have submitted no reviews.","您尚未提交評論"
"You're reviewing: %s","您正在評論：%s"
"Your Rating:","您的評價："
"Your Review (submitted on %s):","您的評論 (寫於%s):"
"OR","OR"
"My Product Reviews","My Product Reviews"
"Review (Optional)","評論（可選）"
"Star Rate","星級"
"CANCEL","取消"
"SUBMIT","提交"
"Your review has been accepted for moderation","您的評論已提交審核"
"Write Review","撰寫評論"
"Name","暱稱"
"Email","電子郵件"
"Review","評論"
"Submit","提交"
