"Cannot add the item to shopping cart.","不能添加這個產品到購物車。"
"Central/Central Stock Pick-up","香港中環中建大廈 Central Central 店舖直接取貨"
"Hi ,You need to login","請登入"
"Checkout Progress","結算步驟"
"Checkout Method","登入/註冊"
"Shipping & Delivery","配送地址及方式"
"Payment by cards or by PayPal account ","通過Paypal支付"
"Check / Money order ","支票/現金"
"Credit Card (saved) ","信用卡"
"'Your order is: %s'","您的訂單號: %s"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您將會收到我們的訂單確認電郵，電郵裡會有您的訂單詳情及訂單狀態追蹤的鏈接。"
"Print Your Order Confirmation","列印您的訂單"
"Review Your Order","查看訂單"
"Review Your Tote","購物袋"
"Tote","購物袋"
"Item Description"," 商品資料"
"Enter your coupon code if you have one","請輸入優惠碼"
"Subtotal","小計"
"Shipping","運費"
"Grand Total","共計"
"Or","或"
"Enter your coupon code if you have one","請輸入優惠碼"
"Home","首頁"
"Email Address","電子郵箱"
"Password","密碼"
"Login","登入"
"Continue","繼續"
"Payment","支付方式"
"First Name","名字"
"Payment by cards or by PayPal account","使用Paypal或信用卡支付"
"Your order has been received.","已收到您的訂單。"
"Your order is #%s.","您的訂單號 #%s。"
"Color","顏色"
"Size","尺碼"
"The quantity of %s have been change to %s.","%s 的數量已經更新為 %s 件。"
"Enter your coupon code","輸入您的優惠券"
"Delivery Method","物流方式"
"Shipping Information","配送地址"
"Choose from Address Book","選擇配送地址"
"Promo Codes","優惠代碼"
"Enter your promo code","請輸入您的優惠代碼"
"Cancel Coupon","取消優惠代碼"
"You will be required to enter your payment details after you place an order.","您需要在下訂單後輸入您的支付資料"
"Thank you for your purchase!","感謝您支持CCSHOP.COM！"
