"Add New Row","增添新行"
"An error occurred while saving the file(s).","保存文件時出錯。"
"Availability: In stock.","庫存：有貨。"
"Availability: Out of stock.","庫存：無貨。"
"Back","返回"
"Can't connect to remote host, error: %s","無法鏈接遠程主機，錯誤： %s"
"Canceled","已取消"
"Date","日期"
"Default Link Title","默認連接標題"
"Default Maximum Number of Downloads","設默認值為最多下載次數"
"Default Sample Title","默認樣本標題"
"Disable Guest Checkout if cart contains downloadable items","購物車中有可下載商品時，禁用訪客結賬"
"Downloadable Information","下載信息"
"Downloadable Product","下載商品"
"Downloadable Product Options","下載商品選項"
"Downloadable product Section","下載商品單元"
"Excl. Tax","不含稅"
"File","文件"
"File does not exists","文件不存在"
"From:","從："
"Gift Message","禮物內容"
"Go to <a href=""%s"">My Downloadable Products</a>","到<a href=""%s"">我的下載商品</a>"
"Guest checkout will only work with shareable","訪客結賬僅與可共享一起啟用"
"Incl. Tax","含稅"
"Invalid download URL host","下載 URL 主機不正確"
"Invalid download URL scheme","下載 URL 模式不正確"
"Invalid download link type","下載鏈接類型不正確"
"Invoiced","已開發票"
"Link has expired.","Link has expired."
"Link is not available.","鏈接不可用。"
"Links can be purchased separately","可購買單個鏈接"
"Max. Downloads","最多下載次數"
"Message:","消息："
"My Downloadable Products","我的下載商品"
"Open Links in New Window","打開連接到新窗口"
"Order #","訂單 #"
"Order Item Status to enable Downloads","Order Item Status to enable Downloads"
"Ordered","已訂購"
"Pending","待審"
"Please log in to download your product.","請登錄以便下載您購買的商品。"
"Please set resource file and link type","請設置源文件和練級類型"
"Please specify product link(s).","請指定商品鏈接。"
"Price","價格"
"Refunded","已退款"
"Remaining Downloads","剩於的下載次數"
"Remove item","刪除商品"
"Requested link doesn't exist.","Requested link doesn't exist."
"Sample","樣本"
"Shareable","可共享"
"Shipped","已發貨""
"Sort Order","排序"
"Start Download","開始下載"
"Status","狀態"
"Title","標題"
"To:","到："
"U","U"
"Unlimited","無限"
"View Order","查看訂單"
"You have not purchased any downloadable products yet.","您尚未購買然後可下載商品。"
"attachment","附件"
"download","下載"
"inline","在線"
"sample","樣本"
"My Downloadable Products","My Downloadable Products"
