"%s's Wishlist","%s的收藏"
"* Required Fields","* 必填项"
"Add All to Cart","全部加入购物车"
"Add to Cart","添加到购物车"
"Add to Wishlist","加入收藏"
"Added On","加入在"
"Back","返回"
"Can't save description %s","无法储存%s说明"
"Cannot create wishlist","无法创建收藏"
"Cannot specify product","无法指定商品"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","如果要增加到收藏的RSS Feed的链接，请选择该方框。"
"Comment","备注"
"Email Sender","电邮发件人"
"Email Template","电邮模版"
"Enabled","已启用"
"General Options","基本选项"
"Go to Wishlist","转到收藏"
"Last Added Items","最后加入的商品"
"Message","内容"
"My Wishlist","我的收藏夹"
"My Wishlist (%d item)","收藏 (%d 件)"
"My Wishlist (%d items)","收藏 (%d 件)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","请输入有效电邮并以逗号分开。 例子： johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","请输入备注..."
"Product","商品"
"RSS Feed","RSS 订阅"
"RSS link to %s's wishlist","RSS 连接到%s的收藏"
"Remove Item","删除"
"Share Wishlist","共享收藏"
"Share Your Wishlist","共享您的收藏"
"Share options","共享选项"
"Sharing Information","共享信息"
"Update Wishlist","更新收藏"
"View Product","查看商品"
"Wishlist","收藏"
"Wishlist Section","收藏单元"
"Wishlist Sharing","共享收藏"
"Shop Now","立即购买"
"SHOP NOW","立即购买"
"Out of stock","缺货"
"Remove","删除"
"Color","颜色"
"Size","尺寸"
"Shoes","鞋履"
"Clothing","服饰"
"Bag","包包"
"Accessories","配饰"
"You have no items in your wishlist.","您的收藏夹没有东西！"
