"%s is not supported currency.","%s是不支持貨幣"
"Accept","接受"
"Basic","基本的"
"Cannot retreive rate from strikeirion.","無法從strikeirion獲取稅率"
"Cannot retrieve rate from %s to %s","無法獲取從 %s 到 %s的稅率"
"Check all email servers","檢查所有郵件服務器"
"Complete","完成"
"Country/Region/Postal code combination","Country/Region/Postal code combination"
"Customer Tax Class","客戶稅種"
"Email Verification","郵件校驗"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","未檢測到郵件地址。請檢查確認郵件地址輸入正確。"
"Enable US address verification","啟用美國地址校驗"
"Enable email verification","啟用郵件校驗"
"Enable foreign exchange rate","啟用外匯匯率"
"Enable global address verification","啟用全球地址校驗"
"Enable sales and use tax","啟用銷售和使用稅"
"Error Email Recipient","郵件收件人錯誤"
"Error Email Sender","郵件發件人錯誤"
"Error Email Template","郵件模板錯誤"
"Error address action","地址操作出錯"
"Foreign Exchange Rates","外匯匯率"
"Global Address Verification","全球地址校驗"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","如果類型完整並且郵政編碼屬於多個稅率，選擇使用最低稅率或最高稅率。"
"Invalid email address","郵件地址不正確"
"Maximum tax rate","最高稅率"
"Minimum tax rate","最低稅率"
"Password","密碼"
"Pop up warning and accept","彈出警告並接受"
"Product Tax Class","商品稅種"
"Reject","拒絕"
"Sales and Use Tax","銷售和使用稅"
"Sales and Use Tax Type","銷售和使用稅種"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron 設置"
"Strikeiron Section","Strikeiron 單元"
"Strikeiron foreign exchange rate is disabled","Strikeiron 外匯匯率不可用"
"Tax","稅"
"There is an error in retrieving tax rate. Please contact us","獲取稅率時出錯，請聯繫我們"
"There is an error in verifying an email. Please contact us.","校驗郵件地址時出錯，請聯繫我們"
"There is no more hits remaining for the foreign Exchange Rate Service.","外匯匯率服務無訪問"
"There is no response back from Strikeiron server","Strikeiron服務器無返回信息"
"US Address Verification","美國地址校驗"
"Undetermined email action","郵件操作未完成"
"Use","使用"
"User ID","用戶ID"
"Verify address in admin","在控制台校驗地址"
"Verify email in admin","在控制台校驗郵件"
